Month,t,t_squared,Date,month,year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
Jan-03,97,9409,2003-01-01,Jan,95,0,0,0,0,1,0,0,0,0,0,0,0
Feb-03,98,9604,2003-02-01,Feb,95,0,0,0,1,0,0,0,0,0,0,0,0
Mar-03,99,9801,2003-03-01,Mar,95,0,0,0,0,0,0,0,1,0,0,0,0
Apr-03,100,10000,2003-04-01,Apr,95,1,0,0,0,0,0,0,0,0,0,0,0
May-03,101,10201,2003-05-01,May,95,0,0,0,0,0,0,0,0,1,0,0,0
Jun-03,102,10404,2003-06-01,Jun,95,0,0,0,0,0,0,1,0,0,0,0,0
Jul-03,103,10609,2003-07-01,Jul,95,0,0,0,0,0,1,0,0,0,0,0,0
Aug-03,104,10816,2003-08-01,Aug,95,0,1,0,0,0,0,0,0,0,0,0,0
Sep-03,105,11025,2003-09-01,Sep,95,0,0,0,0,0,0,0,0,0,0,0,1
Oct-03,106,11236,2003-10-01,Oct,95,0,0,0,0,0,0,0,0,0,0,1,0
Nov-03,107,11449,2003-11-01,Nov,95,0,0,0,0,0,0,0,0,0,1,0,0
Dec-03,108,11664,2003-12-01,Dec,95,0,0,1,0,0,0,0,0,0,0,0,0
Jan-04,109,11881,2004-01-01,Jan,96,0,0,0,0,1,0,0,0,0,0,0,0
Feb-04,110,12100,2004-02-01,Feb,96,0,0,0,1,0,0,0,0,0,0,0,0
Mar-04,111,12321,2004-03-01,Mar,96,0,0,0,0,0,0,0,1,0,0,0,0
Apr-04,112,12544,2004-04-01,Apr,96,1,0,0,0,0,0,0,0,0,0,0,0
May-04,113,12769,2004-05-01,May,96,0,0,0,0,0,0,0,0,1,0,0,0
Jun-04,114,12996,2004-06-01,Jun,96,0,0,0,0,0,0,1,0,0,0,0,0
Jul-04,115,13225,2004-07-01,Jul,96,0,0,0,0,0,1,0,0,0,0,0,0
Aug-04,116,13456,2004-08-01,Aug,96,0,1,0,0,0,0,0,0,0,0,0,0
Sep-04,117,13689,2004-09-01,Sep,96,0,0,0,0,0,0,0,0,0,0,0,1
Oct-04,118,13924,2004-10-01,Oct,96,0,0,0,0,0,0,0,0,0,0,1,0
Nov-04,119,14161,2004-11-01,Nov,96,0,0,0,0,0,0,0,0,0,1,0,0
Dec-04,120,14400,2004-12-01,Dec,96,0,0,1,0,0,0,0,0,0,0,0,0
